STT,Stock Code,Organization Name,First Trading Date,Listing Volume,Stock Volume
681,TBD,Tổng Công ty Thiết bị điện Đông Anh - CTCP,15/10/2014,32.486.392,32.418.392
682,TBH,CTCP Tổng Bách Hóa,13/8/2021,93.117.800,93.117.800
683,TBR,CTCP Địa ốc Tân Bình,20/7/2022,8.060.000,8.060.000
684,TBT,CTCP Xây Dựng Công Trình Giao Thông Bến Tre,1/3/2010,1.656.470,1.656.470
685,TCI,CTCP Chứng khoán Thành Công,5/9/2018,100.979.982,100.979.982
686,TCJ,CTCP Tô Châu,24/11/2017,10.000.000,10.000.000
687,TCK,Tổng công ty cơ khí xây dựng- CTCP,27/10/2017,23.850.000,23.850.000
688,TCW,CTCP Kho vận Tân Cảng,26/6/2017,19.991.020,19.991.020
689,TDB,CTCP Thủy điện Định Bình,19/7/2017,8.230.000,8.230.000
690,TDF,CTCP Trung Đô,12/5/2020,30.000.000,30.000.000
691,TDI,CTCP Tập đoàn TDI,29/12/2022,3.000.000,3.000.000
692,TDS,CTCP Thép Thủ Đức - VNSTEEL,6/10/2011,12.225.393,12.225.393
693,TED,Tổng Công ty Tư vấn thiết kế Giao thông vận tải - CTCP,10/5/2022,12.500.000,12.500.000
694,TEL,CTCP Phát triển công trình Viễn thông,26/9/2017,5.000.000,5.000.000
695,TGP,CTCP Trường Phú,24/6/2009,10.000.000,9.992.500
696,TH1,CTCP Xuất nhập khẩu Tổng hợp I Việt Nam,27/4/2018,13.539.267,13.539.226
697,THN,CTCP Cấp nước Thanh Hóa,5/10/2017,32.995.411,32.995.411
698,THP,CTCP Thủy sản và Thương mại Thuận Phước,18/11/2019,21.611.185,21.610.785
699,THU,CTCP Môi trường và Công trình Đô thị Thanh Hóa,6/6/2017,3.297.790,3.297.790
700,THW,CTCP Cấp nước Tân Hòa,1/3/2016,5.000.000,4.998.000
701,TID,CTCP Tổng công ty Tín Nghĩa,12/12/2018,200.000.000,200.000.000
702,TIE,CTCP TIE,9/8/2019,9.569.900,9.569.900
703,TIN,Công ty Tài chính Cổ phần Tín Việt,28/12/2021,70.137.214,70.137.214
704,TIS,CTCP Gang thép Thái Nguyên,24/3/2011,184.000.000,183.988.900
705,TKA,CTCP Bao bì Tân Khánh An,3/6/2020,3.800.000,3.800.000
706,TL4,Tổng công ty Xây dựng Thủy lợi 4 - CTCP,4/2/2015,16.008.338,14.658.338
707,TLI,CTCP May Quốc tế Thắng Lợi,25/1/2019,3.000.000,3.000.000
708,TLP,Tổng công ty Thương mại Xuất nhập khẩu Thanh Lễ- CTCP,8/12/2017,236.600.000,236.579.900
709,TLT,CTCP Viglacera Thăng Long,8/12/2006,6.989.800,6.989.800
710,TMG,CTCP Kim loại màu Thái Nguyên - Vimico,7/2/2017,18.000.000,18.000.000
711,TMW,CTCP Tổng hợp Gỗ Tân Mai,23/12/2009,4.662.350,4.662.350
712,TNB,CTCP Thép Nhà Bè - VNSTEEL,16/4/2010,14.490.000,14.490.000
713,TNM,CTCP Xuất nhập khẩu và Xây dựng công trình,27/10/2009,5.800.000,5.787.040
714,TNP,CTCP Cảng Thị Nại,23/12/2016,7.100.000,7.100.000
715,TNS,CTCP Thép Tấm lá Thống Nhất,6/1/2017,20.000.000,20.000.000
716,TNW,CTCP Nước sạch Thái Nguyên,26/5/2017,16.000.000,16.000.000
717,TOP,Công ty Cổ phần Phân phối Top One,23/7/2015,25.350.000,25.350.000
718,TOS,CTCP Dịch vụ biển Tân Cảng,8/9/2021,30.999.886,30.999.886
719,TOW,CTCP Cấp nước Trà Nóc- Ô Môn,25/1/2019,7.978.150,7.978.150
720,TPS,CTCP Bến bãi Vận tải Sài Gòn,1/12/2015,5.000.000,5.000.000
721,TQN,CTCP Thông Quảng Ninh,8/2/2017,3.600.000,3.600.000
722,TQW,CTCP Cấp thoát nước Tuyên Quang,14/6/2019,8.933.200,8.933.200
723,TR1,CTCP Vận tải 1 Traco,24/8/2020,4.592.490,4.592.490
724,TRS,CTCP Vận tải và Dịch vụ Hàng Hải,18/9/2015,4.548.413,4.536.313
725,TRT,CTCP RedstarCera,16/3/2017,11.000.000,10.972.768
726,TS3,Công ty Cổ phần Trường Sơn 532,19/1/2018,3.851.880,3.851.880
727,TS4,CTCP Thủy sản số 4,24/9/2021,16.160.646,16.051.594
728,TSD,CTCP Du lịch Trường Sơn COECCO,10/1/2018,1.300.000,1.274.000
729,TSG,CTCP Thông tin Tín hiệu Đường sắt Sài Gòn,18/4/2017,3.074.100,3.074.100
730,TSJ,CTCP Du lịch Dịch vụ Hà Nội,1/8/2017,74.800.000,74.797.400
731,TST,CTCP Dịch vụ Kỹ thuật Viễn thông,8/8/2022,4.800.000,4.800.000
732,TTD,CTCP Bệnh viện tim Tâm Đức,6/2/2017,15.552.000,15.552.000
733,TTG,CTCP May Thanh Trì,2/2/2010,2.000.000,1.950.000
734,TTN,CTCP Công nghệ và Truyền thông Việt Nam,19/4/2017,36.727.500,36.727.500
735,TTP,CTCP Bao bì Tân Tiến,15/3/2017,14.999.998,13.517.770
736,TTS,CTCP Cán thép Thái Trung,17/5/2017,50.800.000,50.800.000
737,TUG,CTCP Lai dắt và Vận tải Cảng Hải Phòng,21/2/2017,2.700.000,2.700.000
738,TV1,CTCP Tư vấn Xây dựng Điện 1,22/6/2018,26.691.319,26.691.319
739,TV6,CTCP Thương mại Đầu tư Xây lắp điện Thịnh Vượng,21/5/2021,3.000.000,3.000.000
740,TVA,CTCP Sứ Viglacera Thanh Trì,11/4/2017,6.300.000,6.300.000
741,TVG,CTCP Tư vấn Đầu tư và Xây dựng Giao thông vận tải,25/1/2010,2.029.589,2.029.589
742,TVH,CTCP Tư vấn Xây dựng Công trình Hàng Hải,17/1/2019,4.004.000,4.004.000
743,TVM,CTCP Tư vấn đầu tư mỏ và công nghiệp - Vinacomin,15/12/2015,2.400.000,2.400.000
744,TVN,Tổng Công ty Thép Việt Nam - CTCP,18/1/2016,678.000.000,678.000.000
745,TVP,CTCP Dược phẩm TV.Pharm,17/8/2017,29.493.529,29.493.375
746,TVW,CTCP Cấp thoát nước Trà Vinh,11/12/2017,14.597.860,14.597.860
747,TW3,CTCP Dược Trung ương 3,18/10/2016,1.750.000,1.702.600
748,UCT,CTCP Đô thị Cần Thơ,15/11/2016,5.344.345,5.344.345
749,UDC,CTCP Xây dựng và Phát triển Đô thị Tỉnh Bà Rịa - Vũng Tàu,23/5/2023,35.000.000,34.706.000
750,UDJ,Công ty cổ phần Phát triển Đô Thị,22/12/2009,16.500.000,16.500.000
751,UDL,CTCP Đô thị và Môi trường Đắk Lắk,9/1/2020,6.620.000,6.620.000
752,UEM,CTCP Cơ điện Uông Bí - Vinacomin,24/9/2015,2.438.100,2.438.100
753,UMC,CTCP Công trình đô thị Nam Định,28/8/2017,1.841.617,1.841.617
754,UPC,CTCP Phát triển Công viên cây xanh và Đô thị Vũng Tàu,21/4/2017,3.400.000,3.400.000
755,UPH,CTCP Dược phẩm TW25,29/12/2016,13.294.641,13.294.641
756,USC,CTCP Khảo sát và Xây dựng- USCO,6/2/2017,5.500.000,5.500.000
757,USD,CTCP Công trình Đô thị Sóc Trăng,30/1/2019,5.600.000,5.600.000
758,V11,CTCP Xây dựng số 11,15/12/2008,8.399.889,8.399.889
759,V15,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 15,21/7/2015,10.000.000,10.000.000
760,VAB,Ngân hàng Thương mại Cổ phần Việt Á,20/7/2021,539.960.043,539.960.043
761,VAV,CTCP VIWACO,26/7/2017,32.000.000,32.000.000
762,VBB,Ngân hàng TMCP Việt Nam Thương Tín,30/7/2019,477.682.669,477.682.669
763,VBG,CTCP Địa chất Việt Bắc- TKV,24/3/2017,8.600.000,8.600.000
764,VBH,CTCP Điện tử Bình Hòa,5/6/2017,2.900.000,2.900.000
765,VC5,CTCP Xây dựng số 5,3/6/2016,5.000.000,5.000.000
766,VCE,CTCP Xây lắp Môi trường,29/12/2016,5.000.000,5.000.000
767,VCP,CTCP Xây dựng và Năng lượng VCP,16/12/2016,83.789.658,83.789.658
768,VCR,CTCP Đầu tư và Phát triển Du lịch Vinaconex,12/5/2020,210.000.000,210.000.000
769,VCT,CTCP Tư vấn xây dựng Vinaconex,15/7/2010,1.100.000,1.100.000
770,VCW,CTCP Đầu tư Nước sạch Sông Đà,23/11/2016,75.000.000,75.000.000
771,VCX,Công ty cổ phần Xi măng Yên Bình,1/4/2014,26.530.000,26.530.000
772,VDB,CTCP Vận tải và Chế biến Than Đông Bắc,22/11/2018,8.678.238,8.678.238
773,VDN,CTCP Vinatex Đà Nẵng,15/7/2010,3.142.910,3.130.730
774,VDT,CTCP Lưới thép Bình Tây,1/3/2011,1.965.440,1.965.440
775,VE9,CTCP Đầu tư và Xây dựng VNECO 9,17/11/2020,12.523.613,12.523.613
776,VEA,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,2/7/2018,1.328.800.000,1.328.800.000
777,VEC,Tổng CTCP Điện tử và Tin học Việt Nam,14/7/2017,43.800.000,43.800.000
778,VEF,CTCP Trung tâm Hội chợ Triển lãm Việt Nam,22/12/2015,166.604.050,166.601.050
779,VES,CTCP Đầu tư và Xây dựng điện MÊ CA VNECO,18/3/2015,9.007.500,9.007.500
780,VET,CTCP Thuốc thú y Trung ương Navetco,13/12/2017,16.000.000,16.000.000
781,VFC,CTCP Vinafco,1/7/2013,34.000.000,33.801.062
782,VFR,CTCP Vận tải và Thuê tàu,9/6/2017,15.000.000,15.000.000
783,VGG,Tổng CTCP May Việt Tiến,10/3/2016,44.100.000,44.100.000
784,VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,25/9/2018,3.043.811.200,3.043.811.200
785,VGL,CTCP Mạ kẽm công nghiệp Vingal-Vnsteel,15/8/2016,9.325.155,9.325.155
786,VGR,CTCP Cảng Xanh Vip,12/4/2018,63.250.000,63.250.000
787,VGT,Tập đoàn Dệt may Việt Nam,3/1/2017,500.000.000,500.000.000
788,VGV,Tổng công ty Tư vấn Xây dựng Việt Nam - CTCP,17/7/2017,35.774.448,35.774.448
789,VHD,CTCP Đầu tư Phát triển nhà và Đô thị VINAHUD,22/6/2017,38.000.000,38.000.000
790,VHF,CTCP Xây dựng và chế biến lương thực Vĩnh Hà,7/5/2010,21.500.000,21.500.000
791,VHG,CTCP Đầu tư và Phát triển Việt Trung Nam,31/5/2019,150.000.000,150.000.000
792,VHH,CTCP Đầu tư Kinh doanh nhà Thành Đạt,25/6/2014,7.500.000,7.500.000
793,VIE,CTCP Công nghệ Viễn thông VITECO,3/8/2022,2.061.244,5.061.244
794,VIH,CTCP Viglacera Hà Nội,24/4/2017,5.600.000,5.600.000
795,VIM,CTCP Khoáng sản Viglacera,24/1/2017,1.250.000,1.250.000
796,VIN,CTCP Giao nhận Kho vận Ngoại thương Việt Nam,4/9/2014,25.500.000,25.500.000
797,VIR,CTCP Du lịch quốc tế Vũng Tàu,1/7/2010,8.240.000,8.240.000
798,VIW,Tổng công ty Đầu tư Nước và Môi trường Việt Nam- CTCP,5/1/2018,58.018.600,58.018.600
799,VKC,CTCP VKC Holdings,9/5/2023,20.000.000,19.279.000
800,VKP,CTCP Nhựa Tân Hóa,15/11/2013,8.000.000,8.000.000
801,VLB,CTCP Xây dựng và Sản xuất vật liệu xây dựng Biên Hòa,22/9/2016,47.000.000,46.720.560
802,VLC,Tổng Công ty Chăn nuôi Việt Nam - CTCP,26/10/2015,172.346.173,172.346.173
803,VLF,CTCP Lương thực Thực phẩm Vĩnh Long,13/5/2016,11.959.982,11.959.982
804,VLG,CTCP VIMC Logistics,18/9/2015,14.212.130,14.162.130
805,VLP,CTCP Công trình công cộng Vĩnh Long,18/7/2017,3.536.222,3.536.222
806,VLW,CTCP Cấp nước Vĩnh Long,17/7/2017,28.900.000,28.900.000
807,VMA,CTCP Công nghiệp Ô tô - Vinacomin,28/8/2015,2.700.000,2.700.000
808,VMG,CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu,11/10/2017,9.600.000,9.600.000
809,VMT,CTCP Giao nhận Vận tải Miền Trung,6/1/2023,3.150.000,3.150.000
810,VNA,CTCP Vận tải biển Vinaship,3/5/2017,20.000.000,20.000.000
811,VNB,CTCP Sách Việt Nam,15/7/2016,67.909.960,67.894.960
812,VNH,CTCP Đầu tư Việt Việt Nhật,31/3/2017,8.023.071,8.023.071
813,VNI,CTCP Đầu tư Bất động sản Việt Nam,4/6/2015,10.559.996,10.357.276
814,VNP,CTCP Nhựa Việt Nam,18/8/2015,19.428.913,19.428.913
815,VNX,CTCP Quảng cáo và Hội chợ thương mại Vinexad,10/6/2010,1.224.948,1.224.948
816,VNY,CTCP Thuốc thú y Trung ương I,3/8/2018,16.249.969,16.249.956
817,VNZ,Công ty cổ phần VNG,5/1/2023,35.844.262,28.736.000
818,VOC,Tổng công ty Công nghiệp Dầu thực vật Việt Nam – CTCP,19/9/2016,121.800.000,121.800.000
819,VPA,CTCP Vận tải Hóa dầu VP,27/1/2016,15.076.177,15.076.177
820,VPC,CTCP Đầu tư và Phát triển Năng lượng Việt Nam,29/5/2015,5.625.000,5.625.000
821,VPR,CTCP VINAPRINT,20/12/2016,4.575.985,4.575.985
822,VPW,CTCP Cấp thoát nước số 1 Vĩnh Phúc,13/11/2017,11.168.676,11.168.676
823,VQC,CTCP Giám định -Vinacomin,26/2/2010,3.599.580,3.599.580
824,VRG,CTCP Phát triển đô thị và Khu công nghiệp Cao su Việt Nam,10/11/2014,25.894.868,25.894.868
825,VSE,CTCP Dịch vụ Đường cao tốc Việt Nam,10/10/2018,8.937.250,8.937.250
826,VSF,Tổng công ty Lương thực Miền Nam - CTCP,23/4/2018,500.000.000,500.000.000
827,VSG,CTCP Container Phía Nam,19/6/2013,11.044.000,11.044.000
828,VSN,CTCP Việt Nam Kỹ nghệ Súc sản,21/10/2016,80.914.300,80.904.500
829,VST,CTCP Vận tải và Thuê tàu biển Việt Nam,10/6/2015,66.999.337,66.999.337
830,VTA,CTCP Vitaly,6/8/2009,8.000.000,8.000.000
831,VTD,CTCP Vietourist Holdings,6/11/2019,12.000.000,12.000.000
832,VTE,CTCP Vinacap Kim Long,5/6/2018,15.600.000,15.600.000
833,VTG,CTCP Du lịch tỉnh Bà Rịa - Vũng Tàu,25/12/2015,18.644.500,18.644.500
834,VTI,Công ty Cổ phần SX - XNK Dệt May,17/12/2010,3.500.000,4.279.763
835,VTK,CTCP Tư vấn và Dịch vụ Viettel,18/12/2018,8.622.777,4.933.723
836,VTL,CTCP Vang Thăng Long,31/5/2023,5.059.992,10.119.984
837,VTM,CTCP Vận tải và Đưa đón Thợ mỏ-Vinacomin,29/12/2015,3.279.797,3.279.797
838,VTP,Tổng công ty Cổ phần Bưu chính Viettel,23/11/2018,113.217.237,113.174.057
839,VTQ,CTCP Việt Trung Quảng Bình,17/5/2021,17.081.791,17.081.791
840,VTR,CTCP Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel,27/9/2019,29.294.833,28.658.247
841,VTS,CTCP Gạch ngói Từ Sơn,16/4/2021,2.000.205,2.000.000
842,VTX,CTCP Vận tải đa phương thức VIETRANSTIMEX,15/5/2014,20.972.321,20.972.321
843,VUA,CTCP Chứng khoán Stanley Brothers,25/1/2022,33.900.000,33.900.000
844,VVN,Tổng CTCP Xây dựng công nghiệp Việt Nam,17/10/2017,55.000.000,55.000.000
845,VVS,Công ty cổ phần Đầu tư Phát triển máy Việt Nam,7/10/2022,20.500.000,20.500.000
846,VW3,CTCP Viwaseen3,23/4/2020,2.000.000,2.000.000
847,VWS,CTCP Nước và Môi trường Việt Nam,6/1/2017,3.600.000,3.600.000
848,VXB,CTCP Vật liệu xây dựng Bến tre,11/7/2022,4.049.006,4.049.006
849,VXP,CTCP Thuốc thú y Trung ương VETVACO,19/8/2019,3.600.000,3.591.000
850,VXT,CTCP Kho vận và Dịch vụ Thương mại,20/5/2020,3.600.000,6.011.932
851,WSB,Công ty Cổ phần Bia Sài Gòn - Miền Tây,10/8/2010,14.500.000,14.500.000
852,WTC,CTCP Vận tải thủy Vinacomin,15/7/2010,10.000.000,10.000.000
853,X26,CTCP 26,9/7/2018,5.000.000,5.000.000
854,X77,CTCP Thành An 77,17/2/2017,1.340.877,1.340.877
855,XDC,Công ty TNHH MTV Xây dựng Công trình Tân Cảng,1/12/2022,8.2,8.2
856,XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội,22/10/2018,24.569.992,24.569.920
857,XHC,CTCP Xuân Hòa Việt Nam,3/11/2016,21.096.500,21.086.500
858,XLV,CTCP Xây lắp và dịch vụ Sông Đà,22/5/2018,3.000.000,3.000.000
859,XMC,CTCP Ðầu tư và Xây dựng Xuân Mai,28/6/2019,67.364.339,67.362.579
860,XMD,CTCP Xuân Mai - Đạo Tú,25/12/2015,4.000.000,4.000.000
861,XMP,CTCP Thủy điện Xuân Minh,16/8/2021,15.000.000,15.000.000
862,XPH,CTCP Xà phòng Hà Nội,25/11/2014,12.972.475,12.972.475
863,YBC,CTCP Xi măng và Khoáng sản Yên Bái,25/6/2014,11.800.000,11.774.180
864,YTC,CTCP Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,3/8/2017,3.080.000,3.080.000
